species	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
16SrII Peanut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00377786173026067	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia defectiva	0	0	0	0	0.00585017696785328	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00478514690400995	1	0	0	0	0
Abiotrophia sp.	0	0	0	0	0.00292508848392664	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00775755068266446	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0060313630880579	1	0	0	0	0	0	0
Acaricomes phytoseiuli	0	0	0.0176516274800537	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris marina	0	0	0	0	0	0	0	0	0.00212524041782227	2	0	0	0	0	0	0	0.00188943052563957	1	0.00517170045510964	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0.00280324054607126	1	0	0	0	0	0.0152975370965275	9	0.0126145824573207	3	0.00188893086513034	1	0.0156225589751601	6	0	0	0.0205592105263158	1	0	0	0	0	0.0243040928092291	15	0	0
Acaryochloris sp.	0	0	0	0	0	0	0	0	0.0212524041782227	20	0	0	0	0	0	0	0.00188943052563957	1	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00686844635743395	3	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0.00377786173026067	2	0.0104150393167734	4	0	0	0	0	0	0	0	0	0.00324054570789721	2	0.00446229361892013	1
Acetivibrio cellulolyticus	0.00484027105517909	1	0.00353032549601073	1	0.0117003539357066	4	0	0	0.00106262020891113	1	0	0	0.00380430647492962	1	0	0	0.00755772210255829	4	0.0362019031857675	14	0	0	0.0167364016736402	1	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.00228948211914465	1	0	0	0.0140162027303563	5	0	0	0.00749484729248642	2	0.0203967161287033	12	0.00420486081910689	1	0.00377786173026067	2	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.00486081856184582	3	0.00446229361892013	1
Acetivibrio ethanolgignens	0	0	0	0	0	0	0	0	0	0	0	0	0.0152172258997185	4	0	0	0	0	0	0	0.0101066248926171	2	0	0	0	0	0	0	0	0	0.00566508044414231	3	0.00517330574236937	2	0	0	0.0029375477351507	1	0	0	0	0	0	0	0.00509917903217582	3	0.00840972163821378	2	0	0	0.00520751965838671	2	0.0102124183006536	2	0	0	0	0	0	0	0	0	0	0
Acetoanaerobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00755344059218974	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetoanaerobium noterae	0	0	0	0	0	0	0	0	0.00212524041782227	2	0	0	0.00760861294985924	2	0.0379301002438364	7	0	0	0.00775755068266446	3	0	0	0	0	0	0	0	0	0	0	0.0132185210363321	7	0	0	0.00228948211914465	1	0	0	0.00280324054607126	1	0	0	0.00749484729248642	2	0.0186969897846447	11	0.00420486081910689	1	0.00188893086513034	1	0.00260375982919336	1	0.0051062091503268	1	0	0	0	0	0	0	0.0145824556855374	9	0	0
Acetoanaerobium sticklandii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101066248926171	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0.00446229361892013	1
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00560648109214252	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter aceti	0	0	0	0	0	0	0	0	0.00106262020891113	1	0	0	0	0	0.00541858574911948	1	0	0	0	0	0.0151599373389257	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0.00377786173026067	2	0.00260375982919336	1	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter cerevisiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter ghanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter malorum	0	0	0	0	0	0	0.00891623200035665	4	0.00106262020891113	1	0	0	0.00380430647492962	1	0	0	0.00188943052563957	1	0	0	0.0252665622315428	5	0	0	0	0	0	0	0	0	0.313467784575874	166	0	0	0.00686844635743395	3	0	0	0.00560648109214252	2	0	0	0	0	0.0135978107524689	8	0.00420486081910689	1	0.00755572346052135	4	0.00260375982919336	1	0	0	0	0	0.0120627261761158	2	0	0	0	0	0	0
Acetobacter nitrogenifigens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113301608882846	6	0	0	0	0	0	0	0.011212962184285	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Acetobacter okinawensis	0	0	0.0105909764880322	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00377886105127914	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00324054570789721	2	0	0
Acetobacter orientalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167364016736402	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258665287118469	1	0.0183158569531572	8	0	0	0	0	0	0	0.00374742364624321	1	0.00169972634405861	1	0	0	0	0	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.0016202728539486	1	0.00446229361892013	1
Acetobacter persici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00541858574911948	1	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Acetobacter senegalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00957029380801991	2	0	0	0	0
Acetobacter sp.	0	0	0.00706065099202146	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0.0205592105263158	1	0	0	0	0	0	0	0	0
Acetobacter tropicalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00339945268811721	2	0.00420486081910689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacteraceae bacterium	0	0	0.00353032549601073	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0.013696753869333	1	0	0	0.00339945268811721	2	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0.00324054570789721	2	0.0223114680946006	5
Acetobacterium	0.00484027105517909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00944180074023718	5	0	0	0	0	0	0	0.0140162027303563	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00486081856184582	3	0	0
Acetobacterium bakii	0.0242013552758955	5	0.24006213372873	68	0.0351010618071197	12	0.00668717400026749	3	0.0467552891920899	44	0.0396133734748851	5	0.0380430647492962	10	0.0379301002438364	7	0.0302308884102332	16	0.0439594538684319	17	0.0606397493557027	12	0.0669456066945607	4	0.0708143651997977	7	0.00755772210255829	2	0.0786395360267374	8	0.0509857239972808	27	0.0284531815830316	11	0.0480791245020376	21	0.00587509547030139	2	0.2438819275082	87	0	0	0	0	0.0118980844084102	7	0.0126145824573207	3	0.00188893086513034	1	0.0130187991459668	5	0.0204248366013072	4	0.0616776315789474	3	0.0060313630880579	1	0.00478514690400995	1	0.0486081856184582	30	0.0223114680946006	5
Acetobacterium dehalogenans	0.0145208131655373	3	0.734307703170232	208	0.152104601164185	52	0.0312068120012483	14	0.162580891963403	153	0.427824433528759	54	0.0456516776991554	12	0.113790300731509	21	0.232399954653667	123	0.178423665701283	69	0.121279498711405	24	0.0669456066945607	4	0.0708143651997977	7	0.0188943052563957	5	0.157279072053475	16	0.241710098950072	128	0.0853595447490947	33	0.0961582490040753	42	0.0352505728218084	12	1.19418047262636	426	0.123270784823997	9	0.0149896945849728	4	0.0509917903217582	30	0.0252291649146413	6	0.017000377786173	9	0.0650939957298339	25	0.0357434640522876	7	0.349506578947368	17	0.060313630880579	10	0.0287108814240597	6	0.166888103956706	103	0.0669344042838019	15
Acetobacterium wieringae	0.00968054211035818	2	0.180046600296547	51	0.0380261502910463	13	0.02674869600107	12	0.0170019233425781	16	0.0792267469497703	10	0	0	0.0487672717420753	9	0.079356082076862	42	0.0258585022755482	10	0.0757996866946283	15	0.0669456066945607	4	0.0303490136570562	3	0.00755772210255829	2	0.0393197680133687	4	0.0906412871062769	48	0.0258665287118469	10	0.0595265350977609	26	0.0146877386757535	5	0.583074033582822	208	0.0273935077386659	2	0.00374742364624321	1	0.0203967161287033	12	0.00420486081910689	1	0.00566679259539101	3	0.0156225589751601	6	0.224673202614379	44	0.185032894736842	9	0	0	0.00478514690400995	1	0.0421270942026637	26	0.0133868808567604	3
Acetobacterium woodii	0.00484027105517909	1	0.109440090376333	31	0.0409512387749729	14	0.013374348000535	6	0.0223150243871338	21	0.0475360481698621	6	0.0266301453245073	7	0.0812787862367922	15	0.0585723462948267	31	0.116363260239967	45	0.126332811157714	25	0.0502092050209205	3	0.0708143651997977	7	0.00377886105127914	1	0.0393197680133687	4	0.126520129919178	67	0.0258665287118469	10	0.045789642382893	20	0.0146877386757535	5	0.440108765733188	157	0	0	0.0449690837549185	12	0.0237961688168205	14	0.0294340257337482	7	0.00188893086513034	1	0.00781127948758007	3	0.076593137254902	15	0.102796052631579	5	0.0241254523522316	4	0.0622069097521294	13	0.0307851842250235	19	0.00892458723784025	2
Acetohalobium arabaticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0.0101066248926171	2	0.0167364016736402	1	0	0	0	0	0.00982994200334218	1	0.00755344059218974	4	0.00775995861355406	3	0	0	0	0	0.0252291649146413	9	0	0	0	0	0.00169972634405861	1	0	0	0	0	0.00260375982919336	1	0.0102124183006536	2	0.0411184210526316	2	0	0	0	0	0.00324054570789721	2	0.00892458723784025	2
Acetomicrobium	0	0	0	0	0	0	0	0	0.00106262020891113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258665287118469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetomicrobium flavidum	0	0	0	0	0	0	0	0	0.00106262020891113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Acetomicrobium hydrogeniformans	0	0	0	0	0	0	0	0	0.00212524041782227	2	0	0	0.00760861294985924	2	0	0	0	0	0.00517170045510964	2	0	0	0.0334728033472803	2	0	0	0.00377886105127914	1	0.0196598840066844	2	0.00188836014804744	1	0	0	0	0	0	0	0.00560648109214252	2	0	0	0	0	0	0	0.0126145824573207	3	0	0	0.00260375982919336	1	0.0204248366013072	4	0	0	0	0	0	0	0.0016202728539486	1	0	0
Acetomicrobium mobile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0.0303490136570562	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00560648109214252	2	0	0	0	0	0.00849863172029303	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetonema longum	0	0	0	0	0	0	0	0	0.00212524041782227	2	0	0	0	0	0	0	0.00188943052563957	1	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0.00258665287118469	1	0	0	0.0029375477351507	1	0.00280324054607126	1	0	0	0	0	0.00849863172029303	5	0	0	0.00377786173026067	2	0	0	0	0	0.0205592105263158	1	0	0	0	0	0.0113419099776402	7	0	0
Acholeplasma axanthum	0	0	0	0	0	0	0	0	0.0063757212534668	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132185210363321	7	0.00517330574236937	2	0	0	0	0	0.00560648109214252	2	0	0	0	0	0	0	0.00420486081910689	1	0	0	0	0	0.699550653594771	137	0	0	0	0	0	0	0	0	0	0
Acholeplasma brassicae	0	0	0.0388335804561181	11	0	0	0	0	0.00212524041782227	2	0	0	0	0	0	0	0	0	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0.043432283405091	23	0	0	0	0	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Acholeplasma equifetale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma granularum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00755344059218974	4	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma hippikon	0	0	0	0	0	0	0	0	0.0031878606267334	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0415439232570436	22	0	0	0	0	0	0	0.011212962184285	4	0	0	0	0	0	0	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma laidlawii	0	0	0	0	0	0	0	0	0	0	0.00792267469497703	1	0	0	0	0	0	0	0.00517170045510964	2	0	0	0	0	0	0	0	0	0	0	0.00566508044414231	3	0	0	0	0	0	0	0.00560648109214252	2	0	0	0.00374742364624321	1	0	0	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma modicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155151013653289	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma oculi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00324054570789721	2	0	0
Acholeplasma palmae	0	0	0	0	0.00292508848392664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101066248926171	2	0	0	0	0	0.00377886105127914	1	0	0	0.0188836014804744	10	0.00517330574236937	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287108814240597	6	0	0	0	0
Achromobacter	0	0	0.0105909764880322	3	0.00292508848392664	1	0.00222905800008916	1	0	0	0	0	0.0608689035988739	16	0	0	0.00188943052563957	1	0	0	0.0151599373389257	3	0	0	0.0202326757713708	2	0.0226731663076749	6	0	0	0	0	0	0	0	0	0	0	0.00560648109214252	2	0	0	0	0	0.00509917903217582	3	0	0	0.00755572346052135	4	0	0	0	0	0	0	0.0784077201447527	13	0	0	0.00486081856184582	3	0	0
Achromobacter denitrificans	0	0	0	0	0	0	0	0	0.00743834146237793	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091579284765786	4	0	0	0.00280324054607126	1	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter insuavis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377886105127914	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter marplatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377886105127914	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00420486081910689	1	0	0	0	0	0	0	0	0	0.0180940892641737	3	0.00478514690400995	1	0	0	0	0
Achromobacter piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter ruhlandii	0	0	0	0	0	0	0	0	0	0	0	0	0.00380430647492962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377672029609487	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter sp.	0	0	0.00706065099202146	2	0.00292508848392664	1	0.0245196380009808	11	0.00106262020891113	1	0	0	0.0114129194247889	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00377886105127914	1	0	0	0.00377672029609487	2	0	0	0.0045789642382893	2	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0.025531045751634	5	0	0	0	0	0	0	0.00486081856184582	3	0	0
Achromobacter spanius	0.00484027105517909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374742364624321	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0.00484027105517909	1	0.00706065099202146	2	0.00292508848392664	1	0	0	0	0	0.00792267469497703	1	0.00760861294985924	2	0.0216743429964779	4	0	0	0.00517170045510964	2	0.0960129364798625	19	0	0	0	0	0.00377886105127914	1	0	0	0.00755344059218974	4	0	0	0.0091579284765786	4	0	0	0.00560648109214252	2	0	0	0.00374742364624321	1	0.00509917903217582	3	0	0	0	0	0.00260375982919336	1	0	0	0	0	0.0180940892641737	3	0	0	0	0	0	0
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00560648109214252	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00324054570789721	2	0.00446229361892013	1
Acidaminococcus fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00587509547030139	2	0	0	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446229361892013	1
Acidaminococcus massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00982994200334218	1	0.00377672029609487	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Acidaminococcus sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374742364624321	1	0.00339945268811721	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus timonensis	0	0	0	0	0	0	0.0178324640007133	8	0.00106262020891113	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidibacillus ferrooxidans	0	0	0	0	0	0	0	0	0.00212524041782227	2	0	0	0.00760861294985924	2	0	0	0	0	0.00258585022755482	1	0.00505331244630856	1	0	0	0	0	0	0	0.0589796520200531	6	0.00377672029609487	2	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0.0152975370965275	9	0.0126145824573207	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00324054570789721	2	0	0
Acidiferrobacter thiooxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103434009102193	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228948211914465	1	0.0029375477351507	1	0.00560648109214252	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidihalobacter ferrooxidans	0	0	0.0247122784720751	7	0.00585017696785328	2	0.00222905800008916	1	0	0	0.00792267469497703	1	0	0	0.00541858574911948	1	0.00188943052563957	1	0	0	0	0	0.0167364016736402	1	0	0	0.00377886105127914	1	0	0	0.00377672029609487	2	0	0	0.0137368927148679	6	0	0	0	0	0.013696753869333	1	0	0	0	0	0	0	0.00377786173026067	2	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.00972163712369163	6	0	0
Acidihalobacter prosperus	0.00968054211035818	2	0	0	0	0	0.0156034060006241	7	0.00106262020891113	1	0.0158453493899541	2	0.00760861294985924	2	0	0	0.013226013679477	7	0.00258585022755482	1	0.00505331244630856	1	0	0	0	0	0.00755772210255829	2	0	0	0.0169952413324269	9	0	0	0.084710838408352	37	0.00881264320545209	3	0.0224259243685701	8	0.0273935077386659	2	0.00374742364624321	1	0.00509917903217582	3	0	0	0.00944465432565168	5	0.0130187991459668	5	0	0	0	0	0	0	0.0287108814240597	6	0.0145824556855374	9	0	0
Acidimicrobium ferrooxidans	0	0	0	0	0	0	0	0	0.0031878606267334	3	0	0	0	0	0	0	0.00377886105127914	2	0.00517170045510964	2	0	0	0	0	0.0202326757713708	2	0	0	0	0	0	0	0	0	0.00686844635743395	3	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0.00648109141579442	4	0	0
Acidiphilium	0	0	0	0	0	0	0.00222905800008916	1	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00566508044414231	3	0	0	0	0	0	0	0	0	0.013696753869333	1	0	0	0	0	0.00420486081910689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium multivorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566508044414231	3	0	0	0.00228948211914465	1	0.0029375477351507	1	0.00280324054607126	1	0	0	0	0	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.00760861294985924	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113301608882846	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidipropionibacterium acidipropionici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0.00258665287118469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
