species	rel_abundance_SRR29355722	reads_SRR29355722	rel_abundance_SRR29355723	reads_SRR29355723	rel_abundance_SRR29355724	reads_SRR29355724	rel_abundance_SRR29355725	reads_SRR29355725	rel_abundance_SRR29355726	reads_SRR29355726	rel_abundance_SRR29355727	reads_SRR29355727	rel_abundance_SRR29355728	reads_SRR29355728	rel_abundance_SRR29355729	reads_SRR29355729	rel_abundance_SRR29355730	reads_SRR29355730	rel_abundance_SRR29355731	reads_SRR29355731	rel_abundance_SRR29355732	reads_SRR29355732	rel_abundance_SRR29355733	reads_SRR29355733	rel_abundance_SRR29355734	reads_SRR29355734	rel_abundance_SRR29355735	reads_SRR29355735	rel_abundance_SRR29355736	reads_SRR29355736	rel_abundance_SRR29355737	reads_SRR29355737	rel_abundance_SRR29355738	reads_SRR29355738	rel_abundance_SRR29355739	reads_SRR29355739	rel_abundance_SRR29355740	reads_SRR29355740	rel_abundance_SRR29355741	reads_SRR29355741	rel_abundance_SRR29355742	reads_SRR29355742	rel_abundance_SRR29355743	reads_SRR29355743	rel_abundance_SRR29355744	reads_SRR29355744	rel_abundance_SRR29355745	reads_SRR29355745	rel_abundance_SRR29355746	reads_SRR29355746	rel_abundance_SRR29355747	reads_SRR29355747	rel_abundance_SRR29355748	reads_SRR29355748	rel_abundance_SRR29355749	reads_SRR29355749	rel_abundance_SRR29355750	reads_SRR29355750	rel_abundance_SRR29355751	reads_SRR29355751	rel_abundance_SRR29355752	reads_SRR29355752	rel_abundance_SRR29355753	reads_SRR29355753
Garciella nitratireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252665622315428	5	0	0	0	0	0	0	0.00982994200334218	1	0.00377672029609487	2	0	0	0.00228948211914465	1	0	0	0.00840972163821378	3	0	0	0	0	0	0	0.00840972163821378	2	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gardnerella vaginalis	0	0	0	0	0	0	0.0222905800008916	10	0	0	0	0	0	0	0	0	0	0	0.0206868018204386	8	0	0	0	0	0.0505816894284269	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00509917903217582	3	0	0	0	0	0	0	0	0	0	0	0	0	0.00478514690400995	1	0	0	0	0
Gayadomonas joobiniege	0	0	0	0	0	0	0	0	0	0	0	0	0.00380430647492962	1	0	0	0.00188943052563957	1	0	0	0	0	0	0	0	0	0	0	0.0196598840066844	2	0.00188836014804744	1	0	0	0.0045789642382893	2	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0.022667170381564	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geitlerinema sp.	0	0	0	0	0	0	0	0	0.00531310104455567	5	0	0	0	0	0	0	0.00377886105127914	2	0.00258585022755482	1	0	0	0	0	0	0	0	0	0.00982994200334218	1	0	0	0	0	0	0	0	0	0.00840972163821378	3	0	0	0	0	0.00169972634405861	1	0	0	0.0340007555723461	18	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.00324054570789721	2	0.00446229361892013	1
Gelidibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00260375982919336	1	0	0	0	0	0	0	0	0	0	0	0	0
Gelidibacter algens	0	0	0	0	0.00292508848392664	1	0.0156034060006241	7	0.00212524041782227	2	0.00792267469497703	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0.00258665287118469	1	0	0	0	0	0	0	0.013696753869333	1	0	0	0.00339945268811721	2	0.0168194432764276	4	0	0	0	0	0	0	0	0	0	0	0	0	0.00810136426974303	5	0.00892458723784025	2
Gelidibacter mesophilus	0	0	0.109440090376333	31	0.00292508848392664	1	0.0222905800008916	10	0.00212524041782227	2	0.00792267469497703	1	0	0	0.195069086968301	36	0.00188943052563957	1	0.0232726520479934	9	0	0	0.0167364016736402	1	0	0	0	0	0	0	0.0169952413324269	9	0.0155199172271081	6	0.0045789642382893	2	0	0	0.00560648109214252	2	0	0	0.00374742364624321	1	0.00509917903217582	3	0.00840972163821378	2	0.011333585190782	6	0.0130187991459668	5	0	0	0	0	0	0	0	0	0.00486081856184582	3	0	0
Gemella asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0.0258585022755482	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella cuniculi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377672029609487	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella haemolysans	0	0	0	0	0.00877526545177992	3	0	0	0	0	0	0	0.0114129194247889	3	0.00541858574911948	1	0	0	0	0	0	0	0	0	0.0101163378856854	1	0	0	0	0	0	0	0	0	0	0	0.0029375477351507	1	0	0	0	0	0	0	0.0186969897846447	11	0	0	0	0	0	0	0	0	0	0	0.0482509047044632	8	0.00957029380801991	2	0.00648109141579442	4	0	0
Gemella sanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0060313630880579	1	0	0	0.0324054570789721	20	0	0
Geminicoccus roseus	0	0	0	0	0.00292508848392664	1	0	0	0.0031878606267334	3	0.00792267469497703	1	0	0	0	0	0.013226013679477	7	0.00775755068266446	3	0.00505331244630856	1	0	0	0	0	0.00377886105127914	1	0	0	0.00944180074023718	5	0.00775995861355406	3	0	0	0	0	0	0	0	0	0	0	0.00169972634405861	1	0	0	0.00944465432565168	5	0.00520751965838671	2	0.0051062091503268	1	0	0	0	0	0	0	0.00324054570789721	2	0	0
Geminocystis herdmanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188943052563957	1	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0045789642382893	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00188893086513034	1	0	0	0.0051062091503268	1	0	0	0	0	0	0	0.0016202728539486	1	0.00446229361892013	1
Geminocystis sp.	0	0	0	0	0.00585017696785328	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00517170045510964	2	0.0101066248926171	2	0	0	0	0	0	0	0	0	0.00755344059218974	4	0	0	0	0	0	0	0.00280324054607126	1	0	0	0	0	0.00169972634405861	1	0	0	0.00188893086513034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmata obscuriglobus	0	0	0.0776671609122361	22	0	0	0.00222905800008916	1	0.00212524041782227	2	0	0	0.00760861294985924	2	0	0	0.00566829157691872	3	0.00258585022755482	1	0.0151599373389257	3	0	0	0	0	0	0	0	0	0.00944180074023718	5	0	0	0	0	0	0	0.00840972163821378	3	0	0	0	0	0.0118980844084102	7	0	0	0.0188893086513034	10	0.00520751965838671	2	0	0	0	0	0	0	0	0	0.00648109141579442	4	0.00446229361892013	1
Gemmata sp.	0	0	0.00706065099202146	2	0	0	0	0	0	0	0.00792267469497703	1	0	0	0	0	0.00188943052563957	1	0.00258585022755482	1	0.0151599373389257	3	0.0167364016736402	1	0	0	0	0	0	0	0.00944180074023718	5	0	0	0	0	0	0	0	0	0	0	0	0	0.00679890537623443	4	0	0	0.00377786173026067	2	0.00260375982919336	1	0	0	0	0	0	0	0.00478514690400995	1	0.00486081856184582	3	0	0
Gemmatimonas aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00775755068266446	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00339945268811721	2	0	0	0.00188893086513034	1	0.00260375982919336	1	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonas phototrophica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377886105127914	2	0	0	0	0	0	0	0.0202326757713708	2	0	0	0	0	0.00566508044414231	3	0.00517330574236937	2	0.00228948211914465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0205592105263158	1	0	0	0	0	0	0	0.00892458723784025	2
Gemmiger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00560648109214252	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Gemmiger formicilis	0	0	0	0	0	0	0	0	0	0	0	0	0.00380430647492962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00420486081910689	1	0	0	0	0	0	0	0.0205592105263158	1	0	0	0	0	0	0	0	0
Gemmiger sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566829157691872	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00517330574236937	2	0	0	0	0	0.00280324054607126	1	0	0	0.00374742364624321	1	0	0	0	0	0	0	0.00781127948758007	3	0	0	0	0	0	0	0	0	0	0	0	0
Gemmobacter megaterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114474105957232	5	0	0	0.00280324054607126	1	0	0	0	0	0	0	0	0	0	0	0.00260375982919336	1	0	0	0	0	0	0	0	0	0.00324054570789721	2	0	0
Gemmobacter nectariphilus	0.0193610842207164	4	0	0	0	0	0.0356649280014266	16	0	0	0	0	0	0	0	0	0.00755772210255829	4	0.00517170045510964	2	0	0	0	0	0	0	0	0	0	0	0.00188836014804744	1	0	0	0.0206053390723018	9	0	0	0.00840972163821378	3	0	0	0.00749484729248642	2	0.00169972634405861	1	0	0	0.00377786173026067	2	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Gemmobacter sp.	0	0	0	0	0	0	0.0111452900004458	5	0.00106262020891113	1	0	0	0	0	0	0	0.00188943052563957	1	0	0	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0114474105957232	5	0.0029375477351507	1	0.00560648109214252	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geoalkalibacter ferrihydriticus	0.00484027105517909	1	0	0	0	0	0.00222905800008916	1	0	0	0.00792267469497703	1	0	0	0.0162557572473584	3	0.00377886105127914	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00944180074023718	5	0.00517330574236937	2	0.00228948211914465	1	0	0	0.0196226838224988	7	0	0	0	0	0.00849863172029303	5	0	0	0.00188893086513034	1	0.00260375982919336	1	0.0051062091503268	1	0.0411184210526316	2	0	0	0	0	0.0016202728539486	1	0.00446229361892013	1
Geoalkalibacter subterraneus	0	0	0	0	0	0	0	0	0	0	0.0237680240849311	3	0.00380430647492962	1	0	0	0.00755772210255829	4	0.0181009515928837	7	0.00505331244630856	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0114474105957232	5	0	0	0.00560648109214252	2	0.013696753869333	1	0	0	0.00509917903217582	3	0.00840972163821378	2	0.00377786173026067	2	0	0	0	0	0.0205592105263158	1	0.0180940892641737	3	0.0143554407120299	3	0.00486081856184582	3	0	0
Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258585022755482	1	0	0	0	0	0	0	0	0	0	0	0.00377672029609487	2	0	0	0	0	0	0	0.011212962184285	4	0	0	0.00374742364624321	1	0.00169972634405861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Geobacillus galactosidasius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120627261761158	2	0	0	0.0016202728539486	1	0	0
Geobacillus genomosp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016202728539486	1	0	0
Geobacillus kaustophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101163378856854	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00520751965838671	2	0	0	0	0	0	0	0	0	0	0	0	0
Geobacillus sp.	0	0	0	0	0	0	0	0	0	0	0.00792267469497703	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00420486081910689	1	0	0	0.00260375982919336	1	0.0102124183006536	2	0	0	0	0	0	0	0.0016202728539486	1	0	0
